Name,authors,pattern_match,title,url,Code available,Git URL,Repository URL,Note,© issues,Languages,Dependency management scheme,Additional dependency features,Dependency versioning,Dependency note
paper1.pdf,"Taylor Arnold, Lauren Tilton",No,Explainable Search and Discovery of Visual Cultural Heritage Collections with Multimodal Large Language Models,https://ceur-ws.org/Vol-3834/paper1.pdf,No,,,,,,,,,
paper4.pdf,"Petra Heřmánková, Brian Ballsun-Stanton, Ray Laurence",No,FAIR Turn in Epigraphy: Low Barrier Pathways to Quantitative and Reproducible Research in Latin Epigraphy,https://ceur-ws.org/Vol-3834/paper4.pdf,Unfulfilled: No reference,,,"Can’t find via Google. “We publish all steps in the case study R script along with detailed comments and
provide interested scholars and students with a step-by-step script, guiding them through a
simple analysis of several hundred inscriptions”. Software is available.",,,,,,
paper5.pdf,"Mathieu Jacomy, Matilde Ficozzi, Anders K. Munk",No,Sub-optimal Recall in Visual Cluster Retrieval: When Clusters Look Like Bridges,https://ceur-ws.org/Vol-3834/paper5.pdf,Not applicable,,,,,,,,,
paper6.pdf,"Sungpil Wang, Juyong Park",No,Quantitative Framework for Word-Color Association and Application to 20th Century Anglo-American Poetry,https://ceur-ws.org/Vol-3834/paper6.pdf,No,,,,,,,,,
paper9.pdf,"Christof Schöch, Julia Dudar, Evgeniia Fileva, Artjoms Šeļa",Yes,Multilingual Stylometry: The influence of language on the performance of authorship attribution using corpora from the European Literary Text Collection (ELTeC),https://ceur-ws.org/Vol-3834/paper9.pdf,Yes,https://gitlab.clsinfra.io/cls-infra/d33,https://zenodo.org/records/11080205,,,"Python, R",None (import only),,Unversioned,
paper12.pdf,"Klara Venglarova, Raven Adam, Wiltrud Mölzer, Saranya Balasubramanian, Jörn Kleinert, Manfred Füllsack, Georg Vogeler",No,Who Advertises in Newspapers? Data Criticism in Mining Historical Job Ads,https://ceur-ws.org/Vol-3834/paper12.pdf,Data only,,,Data only,,,,,,
paper13.pdf,"Folgert Karsdorp, Mike Kestemont, Margo de Koster",Yes,Beyond the Register: Demographic Modeling of Arrest Patterns in 1879-1880 Brussels,https://ceur-ws.org/Vol-3834/paper13.pdf,Yes,https://github.com/fbkarsdorp/dark-numbers/tree/1.0,https://zenodo.org/records/13969373,,,Jupyter/Python,Requirements file,,Versioned,
paper15.pdf,"Caroline Vandyck, Mike Kestemont",No,Abbreviation Application: A Stylochronometric Study of Abbreviations in the Oeuvre of Herne’s Speculum Scribe,https://ceur-ws.org/Vol-3834/paper15.pdf,No,,,,,,,,,
paper17.pdf,"Jamie Mahowald, Benjamin Charles Germain Lee",Yes,Integrating Visual and Textual Inputs for Searching Large-Scale Map Collections with CLIP,https://ceur-ws.org/Vol-3834/paper17.pdf,Yes,https://github.com/j-mahowald/clip-loc-maps,https://zenodo.org/records/11538437,,,"Jupyter/Python, Python",None (import only),,Unversioned,"“Run the first two cells in search (ensure all imports are resolved),”"
paper18.pdf,Spencer Dean Stewart,Yes,"A Methodology for Studying Linguistic and Cultural Change in China, 1900-1950",https://ceur-ws.org/Vol-3834/paper18.pdf,No,,,,,,,,,
paper19.pdf,"Jens Bjerring-Hansen, Ali Al-Laith, Daniel Hershcovich, Alexander Conroy, Sebastian Ørtoft Rasmussen",Yes,Literary Time Travel: Distinguishing Past and Contemporary Worlds in Danish and Norwegian Fiction,https://ceur-ws.org/Vol-3834/paper19.pdf,Unfulfilled: No reference,,,"“¹Our dataset, code and models will be made publicly available upon publication.”",,,,,,
paper20.pdf,"Erika Maksimova, Mari-Anna Meimer, Mari Piirsalu, Priit Järv",Yes,Viability of Zero-shot Classification and Search of Historical Photos,https://ceur-ws.org/Vol-3834/paper20.pdf,Yes,https://github.com/priitj/chr2024/,,,"Because the copyright of most of the photos used in the experiments is held privately,
we cannot reproduce the photos in the paper and do not distribute the datasets.",Python,In README,,Unversioned,
paper21.pdf,"Simon Gabay, Thibault Clérice",Yes,The birth of French orthography. A computational analysis of French spelling systems in diachrony,https://ceur-ws.org/Vol-3834/paper21.pdf,Yes,https://github.com/DEFI-COLaF/TheatreLFSV2,,,,Jupyter/Python,Requirements file,,Unversioned,
paper23.pdf,"Julia Neugarten, Tess Dejaeghere, Pranaydeep Singh, Amanda Robin Hemmons, Julie M. Birkholz",Yes,Catching Feelings: Aspect-Based Sentiment Analysis for Fanfiction Comments about Greek Myth,https://ceur-ws.org/Vol-3834/paper23.pdf,Unfulfilled: No reference,,,"“To protect the privacy of the fanfiction community, the dataset of fanfiction comments will not
be made available for reuse. Derived data and code are available on Github.” – LaTeX issue, Cannot find via Google",,,,,,
paper24.pdf,"Ranveig Kvinnsland, Ingerid Løyning Dale, Lars Magne Tungland",No,Rediscovering the 1890s: A Norwegian Poetry Corpus,https://ceur-ws.org/Vol-3834/paper24.pdf,No,,,"Repository for analysis software available, but not its application to the present paper",,,,,,
paper27.pdf,"Xiaoyan Yang, Federio Pianzola",Yes,Exploring the Evolution of Gender Power Difference through the Omegaverse Trope on AO3 Fanfiction,https://ceur-ws.org/Vol-3834/paper27.pdf,Yes,https://github.com/GOLEM-lab/Omegaverse_Study/,,,,Jupyter/Python,None (import only),,Unversioned,
paper28.pdf,"Taylor Arnold, Lauren Tilton",No,Automated Image Color Mapping for a Historic Photographic Collection,https://ceur-ws.org/Vol-3834/paper28.pdf,No,,,,,,,,,
paper29.pdf,"Maria Bekker-Nielsen Dunbar, Manex Agirrezabal, Tønnes Bekker-Nielsen",Yes,Getting to grippe with influenza: an investigation of why the disease is called that,https://ceur-ws.org/Vol-3834/paper29.pdf,Unfulfilled: No reference,,,“The code will be made available at: xxxx.”,,,,,,
paper30.pdf,"Benjamin Kiessling, Thibault Clérice",Yes,Does Context Matter ? Enhancing Handwritten Text Recognition with Metadata in Historical Manuscripts,https://ceur-ws.org/Vol-3834/paper30.pdf,Yes,https://github.com/mittagessen/conformer_ocr,,,,Python,None (import only),,Unversioned,
paper32.pdf,"Joel Priestley, Anders Nøklestad, Kristin Hagen, Anu Laanemets, Dag Trygve Truslew Haug",Yes,Treebanks for the ordinary working grammarian,https://ceur-ws.org/Vol-3834/paper32.pdf,Not applicable,,,,,,,,,
paper35.pdf,"Chahan Vidal-Gorène, Clément Salah, Noëmie Lucas, Aliénor Decours-Perez, Antoine Perrier",Yes,Enhancing Arabic Maghribi Handwritten Text Recognition with RASAM 2: A Comprehensive Dataset and Benchmarking,https://ceur-ws.org/Vol-3834/paper35.pdf,No,,,,,,,,,
paper36.pdf,"Yuri Bizzoni, Pascale Feldkamp, Kristoffer Nielbo",No,"Global Coherence, Local Uncertainty - Towards a Theoretical Framework for Assessing Literary Quality",https://ceur-ws.org/Vol-3834/paper36.pdf,No,,,,,,,,,
paper38.pdf,"Ekaterina Vozhik, Kirill Maslinsky, Roman Lisiukov",Yes,"Censorship as a Dissociative Force: A Case of Sovremennik Magazine, 1847–1866",https://ceur-ws.org/Vol-3834/paper38.pdf,Yes,,https://dataverse.pushdom.ru/dataset.xhtml?persistentId=doi:10.31860/openlit-2024.10-R008,,,"Python, R",Lockfile,,Versioned,
paper39.pdf,"Ruben Ros, Melvin Wevers",Yes,Epistemic Capture through Specialization in Post-World War II Parliamentary Debate,https://ceur-ws.org/Vol-3834/paper39.pdf,Unfulfilled: No reference,,,"“The full code and data for replicating our analysis will be made available from the following
Github repository upon the publication of the paper: anonymized url“",,,,,,
paper41.pdf,"Christoph Bartl, Sharwin Rezagholi, Mareike Schumacher",No,A quantitative study of gender representation and authors' gender in a large-market print medium,https://ceur-ws.org/Vol-3834/paper41.pdf,No,,,,,,,,,
paper42.pdf,"Berat Kurar-Barakat, Daria Vasyutinsky-Shapira, Sharva Gogawale, Mohammad Suliman, Nachum Dershowitz",Yes,Computational Paleography of Medieval Hebrew Scripts,https://ceur-ws.org/Vol-3834/paper42.pdf,No,,,,,,,,,
paper43.pdf,"Carlos Javier Nusch, Gimena Del Río Riande, Leticia Cagnina, Marcelo Luis Errecalde, Leandro Antonelli",No,Clustering Tasks and Decision Trees with Augustan Love Poets: Cohesion and Separation in Feature Importance Extraction,https://ceur-ws.org/Vol-3834/paper43.pdf,No,,,,,,,,,
paper46.pdf,"Simone Rebora, Gabriele Vezzani",Yes,Models of Literary Evaluation and Web 2.0. An Annotation Experiment with Goodreads Reviews,https://ceur-ws.org/Vol-3834/paper46.pdf,Yes,https://github.com/SimoneRebora/CHR2024,,,,"Jupyter/Python, Python",None (import only),,Unversioned,Only requirements.txt for locally executed .py files. Google Colab for ipynb treated as stable and dependencies not declared
paper49.pdf,"Ross Deans Kristensen-McLachlan, Rebecca M.M. Hicke, Márton Kardos, Mette Thunø",Yes,Context is Key(NMF): Modelling Topical Information Dynamics in Chinese Diaspora Media,https://ceur-ws.org/Vol-3834/paper49.pdf,No,,,,,,,,,
paper52.pdf,"Joonatan Laato, Jenna Kanerva, John Loehr, Virpi Lummaa, Filip Ginter",No,Extracting Social Connections from Finnish Karelian Refugee Interviews Using LLMs,https://ceur-ws.org/Vol-3834/paper52.pdf,No,,,,,,,,,
paper55.pdf,"Marie Roald, Magnus Breder Birkenes, Lars Gunnarsønn Bagøien Johnsen",Yes,Visual Navigation of Digital Libraries: Retrieval and Classification of Images in the National Library of Norway’s Digitised Book Collection,https://ceur-ws.org/Vol-3834/paper55.pdf,Yes,https://github.com/Sprakbanken/CHR24-image-retrieval,,,,Jupyter/Python,Lockfile,PDM,Versioned,
paper56.pdf,"David Colliaux, Remi van Trijp",No,The discourse of the French method: making old knowledge on market gardening accessible to machines and humans,https://ceur-ws.org/Vol-3834/paper56.pdf,No,,,,,,,,,
paper57.pdf,"Mia Jacobsen, Ross Deans Kristensen-McLachlan",No,Admiration and Frustration: A Multidimensional Analysis of Fanfiction,https://ceur-ws.org/Vol-3834/paper57.pdf,No,,,,,,,,,
paper58.pdf,"Phillip B. Ströbel, Zejie Guo, Ülkü Karagöz, Eva Maria Willi, Felix K. Maier",No,Bringing Rome to Life: Evaluating Historical Image Generation,https://ceur-ws.org/Vol-3834/paper58.pdf,Data only,,,Base data only (no annotations),,,,,,
paper59.pdf,"Daniel Kababgi, Giulia Grisot, Federico Pennino, Berenike Herrmann",Yes,Recognising non-named spatial entities in literary texts: a novel spatial entities classifier,https://ceur-ws.org/Vol-3834/paper59.pdf,Unfulfilled: No reference,,,"One URL is https://github.com/XXXX, the other is 404",,,,,,
paper60.pdf,"Rebecca M. M. Hicke, Ross Deans Kristensen-McLachlan",No,SCIENCE IS EXPLORATION: Computational Frontiers for Conceptual Metaphor Theory,https://ceur-ws.org/Vol-3834/paper60.pdf,Not applicable,,,,,,,,,
paper61.pdf,Ben Nagy,Yes,Bootstrap Distance Imposters: High precision authorship verification with improved interpretability,https://ceur-ws.org/Vol-3834/paper61.pdf,Yes,https://github.com/bnagy/bdi-paper,,,,Jupyter/Python,None (import only),,Unversioned,
paper62.pdf,"Patricia Martin-Rodilla, Leticia Tobalina-Pulido",Yes,Addressing Uncertainty according to the Annotator's Expertise in Archaeological Data Collections: an Approach from Fuzzy Logic,https://ceur-ws.org/Vol-3834/paper62.pdf,Yes,https://github.com/patriciaMRodilla/ArchaeoFuzzyExpertise/,,,,MATLAB,None (import only),,Unversioned,
paper63.pdf,"Ze Yu, Federico Pianzola",Yes,Across the Pages: A Comparative Study of Reader Response to Web Novels in Chinese and English on Qidian and WebNovel,https://ceur-ws.org/Vol-3834/paper63.pdf,Unfulfilled: Empty,https://github.com/zeyu-acad/Qidian-Webnovel-Corpus,,,,,,,,
paper67.pdf,"Peter Boot, Angel Daza, Carsten Schnober, Willem van Hage",No,"In the Context of Narrative, we Never Properly Defined the Concept of Valence",https://ceur-ws.org/Vol-3834/paper67.pdf,Yes,,https://zenodo.org/records/13942218,,We cannot share the full texts of the books that we create extracts from because of copyright restrictions. We do share the 100 word extracts themselves though.,Jupyter/Python,None (import only),,Unversioned,
paper70.pdf,"Sarah Griebel, Becca Cohen, Lucian Li, Jiayu Liu, Jaihyun Park, Jana Perkins, Ted Underwood",Yes,Locating the Leading Edge of Cultural Change,https://ceur-ws.org/Vol-3834/paper70.pdf,Yes,https://github.com/Historical-AI-Lab/novelty,,,,"Jupyter/Python, Python",None (import only),,Unversioned,
paper71.pdf,"Pepe Ballesteros Zapata, Nina Arnold, Vappu Lukander, Ludovica Schaerf, Dario Negueruela del Castillo",No,Transformation of Composition and Gaze Interaction in Noli Me Tangere Depictions from 1300–1600,https://ceur-ws.org/Vol-3834/paper71.pdf,No,,,,,,,,,
paper73.pdf,"Carsten Schnober, Renate Smit, Manjusha Kuruppath, Kay Pepping, Leon van Wissen, Lodewijk Petram",Yes,Page Embeddings: Extracting and Classifying Historical Documents with Generic Vector Representations,https://ceur-ws.org/Vol-3834/paper73.pdf,Not applicable,https://github.com/LAHTeR/document_segmentation/,,"Methods paper: New algorithm. Code for the benchmarks is not shared, but then, there is also no RQ",,Jupyter/Python,,,,
paper74.pdf,"Arjan van Dalfsen, Folgert Karsdorp, Ayoub Bagheri, Dieuwertje Mentink, Thirza van Engelen, Els Stronks",No,Direct and Indirect Annotation with Generative AI: A Case Study into Finding Animals and Plants in Historical Text,https://ceur-ws.org/Vol-3834/paper74.pdf,Yes,https://github.com/trister95/direct-and-indirect-annotation,,"LaTeX issue, found repo via Google",,Python,None (import only),,Unversioned,
paper75.pdf,"Eirini Kaldeli, Alexandros Chortaras, Vassilis Lyberatos, Jason Liartis, Spyridon Kantarelis, Giorgos Stamou",Yes,Combining Automatic Annotation with Human Validation for the Semantic Enrichment of Cultural Heritage Metadata,https://ceur-ws.org/Vol-3834/paper75.pdf,Data only,,,,,,,,,
paper76.pdf,"Ida Marie S. Lassen, Pascale Feldkamp Moreira, Yuri Bizzoni, Kristoffer Nielbo",Yes,Literary Canonicity and Algorithmic Fairness: The Effect of Author Gender on Classification Models,https://ceur-ws.org/Vol-3834/paper76.pdf,Yes,,https://zenodo.org/records/12699037,,,"Jupyter/Python, Python",In notebook cell,,Unversioned,
paper78.pdf,"Anne-Laure Tettoni, Simon Dumas Primbault",Yes,Discoverability in a Digital Library: A Study of “Rabbit Holes” within Gallica’s corpus,https://ceur-ws.org/Vol-3834/paper78.pdf,No,,,,,,,,,
paper79.pdf,Ismail Prada Ziegler,No,Exploration of Event Extraction Techniques in Late Medieval and Early Modern Administrative Records,https://ceur-ws.org/Vol-3834/paper79.pdf,No,,,,,,,,,
paper80.pdf,"Franziska Pannach, Luotong Cheng, Federico Pianzola",No,The GOLEM-Knowledge Graph and Search Interface: Perspectives into Narrative and Fiction,https://ceur-ws.org/Vol-3834/paper80.pdf,Not applicable,,,,,,,,,
paper82.pdf,Adela Sobotkova,Yes,Assessing Burial Mound Intervisibility and Prominence at Regional Scale,https://ceur-ws.org/Vol-3834/paper82.pdf,Unfulfilled: No reference,,,LaTeX issue: “Code for this paper is available via GitHub.”,"Due to copyright restrictions, the
dataset and the domain-adapted BERT model used in the study are not available for public release.",,,,,
paper86.pdf,"Viktor J. Illmer, Dîlan Canan Çakir, Frank Fischer, Lilly Welz, Carsten Milling",Yes,Univariate Statistical Analysis of a Non-Canonical Literary Genre. Quantifying German-Language One-Act Plays (1740–1850),https://ceur-ws.org/Vol-3834/paper86.pdf,Yes,https://github.com/v-ji/einakter-chr2024-stats,,,,Jupyter/Python,"Lockfile, Requirements file","Containerised, Nix",Versioned,
paper90.pdf,"Julian Häußler, Janis von Keitz, Evelyn Gius",Yes,Animacy in German Folktales,https://ceur-ws.org/Vol-3834/paper90.pdf,Yes,https://github.com/forTEXT/animacy_in_german_folktales,,,,Jupyter/Python,Requirements file,,Unversioned,
paper92.pdf,Thora Hagen,No,Domain Adaptation with Linked Encyclopedic Data: A Case Study for Historical German,https://ceur-ws.org/Vol-3834/paper92.pdf,Data only,,,"Only data, no code",,,,,,
paper93.pdf,"Jan Langenhorst, Robert C. Schuppe, Yannick Frommherz",Yes,And then I saw it: Testing Hypotheses on Turning Points in a Corpus of UFO Sighting Reports,https://ceur-ws.org/Vol-3834/paper93.pdf,Yes,,https://osf.io/vd9pu/,,,R,In comment,,Versioned,
paper94.pdf,"Maciej Kurzynski, Aaron Gilkison",No,Revolution + Love: Measuring the Entanglements of State Violence and Emotions in Early PRC,https://ceur-ws.org/Vol-3834/paper94.pdf,No,,,,,,,,,
paper95.pdf,"Michael Zichert, Adrian Wüthrich",Yes,Tracing the Development of the Virtual Particle Concept Using Semantic Change Detection,https://ceur-ws.org/Vol-3834/paper95.pdf,Yes,https://github.com/mZichert/scd_vp,,,,"Jupyter/Python, Python",None (import only),,Unversioned,
paper96.pdf,"Xinhao Zhang, Olga Seminck, Pascal Amsili",Yes,Remember to Forget: A Study on Verbatim Memorization of Literature in Large Language Models,https://ceur-ws.org/Vol-3834/paper96.pdf,Yes,https://github.com/XINHAO-ZHANG/books-memorization,,,,Python,None (import only),,Unversioned,
paper97.pdf,Jean Barré,Yes,Latent structures in french fiction,https://ceur-ws.org/Vol-3834/paper97.pdf,Yes,https://github.com/crazyjeannot/CHR_latent_structures,,,,"Jupyter/Python, Python",None (import only),,Unversioned,
paper98.pdf,"Pascale Feldkamp, Ea Overgaard Lindhardt, Kristoffer L. Nielbo, Yuri Bizzoni",Yes,Sentiment Below the Surface: Omissive and Evocative Strategies in Literature and Beyond,https://ceur-ws.org/Vol-3834/paper98.pdf,Yes,https://github.com/centre-for-humanities-computing/literary_evocation,,,,Python,Requirements file,,Unversioned,
paper99.pdf,"Haley Anne Schwartz, Paula Jardón Giner, Xavier Rubio Campillo",Yes,Text Mining to unveil Prehistoric Pastness in Museums,https://ceur-ws.org/Vol-3834/paper99.pdf,No,,,,,,,,,
paper102.pdf,"Edward Abel, Andrew Goddard",No,Greatest Hits Versus Deep Cuts: Exploring Variety in Set-lists Across Artists and Musical Genres,https://ceur-ws.org/Vol-3834/paper102.pdf,Unfulfilled: Empty,https://github.com/trister95/direct-and-indirect-annotation,,Repository does not contain code,,,,,,
paper104.pdf,"Matthias Gille Levenson, Lucence Ing, Jean-Baptiste Camps",Yes,"Textual Transmission without Borders: Multiple Multilingual Alignment and Stemmatology of the ``Lancelot en prose'' (Medieval French, Castilian, Italian)",https://ceur-ws.org/Vol-3834/paper104.pdf,Yes,,https://zenodo.org/records/12728282,Benchmarks for methods work,,R,None (import only),,Unversioned,
paper106.pdf,"Mia Jacobsen, Yuri Bizzoni, Pascale Feldkamp Moreira, Kristoffer L. Nielbo",Yes,Patterns of Quality: Comparing Reader Reception Across Fanfiction and Commercially Published Literature,https://ceur-ws.org/Vol-3834/paper106.pdf,No,,,,,,,,,
paper110.pdf,"Luigi Bambaci, George Kiraz, Christine Roughan, Matthieu Freyder, Daniel Stökl Ben Ezra",Yes,Steps Towards Mining Manuscript Images for Untranscribed Texts: A Case Study From the Syriac Collection at the Vatican Library,https://ceur-ws.org/Vol-3834/paper110.pdf,No,,,,,,,,,
paper119.pdf,"David Bamman, Kent K. Chang, Li Lucy and Naitian Zhou",Yes,On Classification with Large Language Models in Cultural Analytics,https://ceur-ws.org/Vol-3834/paper119.pdf,Yes,https://github.com/bamman-group/ca-classification-data,,,,Python,None (import only),,Unversioned,
paper121.pdf,Giulio Tani Raffaelli,Yes,Promises from an Inferential Approach in Classical Latin Authorship Attribution,https://ceur-ws.org/Vol-3834/paper121.pdf,Yes,https://github.com/GiulioTani/CHR24,,,,"C++, Python",None (import only),,Unversioned,
paper122.pdf,"Melanie Walsh, Anna Preus, Elizabeth Gronski",Yes,Does ChatGPT Have a Poetic Style?,https://ceur-ws.org/Vol-3834/paper122.pdf,Yes,https://github.com/melaniewalsh/chatgpt_poetry,,,,Jupyter/Python,None (import only),,Unversioned,
paper123.pdf,Bruno Sartini,Yes,Deciphering Still Life Artworks with Linked Open Data,https://ceur-ws.org/Vol-3834/paper123.pdf,Yes,https://github.com/br0ast/still_life_analysis,,,,Jupyter/Python,Requirements file,,Versioned,
paper124.pdf,"Naitian Zhou, David Bamman",No,"Once More, With Feeling: Measuring Emotion of Acting Performances in Contemporary American Film",https://ceur-ws.org/Vol-3834/paper124.pdf,No,,,,,,,,,
paper128.pdf,Maria Levchenko,Yes,Automatic Translation Alignment Pipeline for Multilingual Digital Editions of Literary Works,https://ceur-ws.org/Vol-3834/paper128.pdf,No,,,,,,,,,
paper130.pdf,"Kent K. Chang, Anna Ho, David Bamman",Yes,Subversive Characters and Stereotyping Readers: Characterizing Queer Relationalities with Dialogue-Based Relation Extraction,https://ceur-ws.org/Vol-3834/paper130.pdf,Unfulfilled: Empty,https://github.com/kentchang/subversive-characters-chr2024,,"Empty repo, “under construction”",,,,,,
paper132.pdf,"Martin Schlenk, Thomas Efer, Manuel Burghardt",No,Treating Games as Plays? Computational Approaches to the Detection of Scenes in Game Dialogs,https://ceur-ws.org/Vol-3834/paper132.pdf,No,,,,,,,,,
paper133.pdf,"Fabian C. Moss, Eita Nakamura",No,Modeling the Evolution of Harmony in Popular Music from Different Cultural Contexts,https://ceur-ws.org/Vol-3834/paper133.pdf,No,,,,,,,,,
paper135.pdf,"Yann Ryan, Margherita Fantoli",Yes,Early Modern Book Catalogues and Multilingualism: Identifying Multilingual Texts and Translations using Titles,https://ceur-ws.org/Vol-3834/paper135.pdf,Yes,https://github.com/mfantoli/CHR2024_multilingualism,,,,Jupyter/Python,None (import only),,Unversioned,
paper137.pdf,"Leonard Konle, Merten Kröncke, Fotis Jannidis, Simone Winko",No,"On the Unity of Literary Change. The Development of Emotions in German Poetry, Prose, and Drama between 1850 and 1920 as a Test Case",https://ceur-ws.org/Vol-3834/paper137.pdf,Yes,https://github.com/cophi-wue/Unity-of-Literary-Change,,,,Python,Requirements file,,Versioned,
paper139.pdf,"Gleb Schmidt, Veronica Vybornaya, Ivan P. Yamshchikov",Yes,Fine-Tuning Pre-Trained Language Models for Authorship Attribution of the Pseudo-Dionysian Ars Rhetorica,https://ceur-ws.org/Vol-3834/paper139.pdf,Yes,https://github.com/glsch/rhetores_graeci,,,,Python,Requirements file,Unversioned command line apps,Unversioned,wandb
paper140.pdf,Alexander Kim,Yes,Sequencing Literary Reception: Trajectories of Russian Novels over the Afterlife Course,https://ceur-ws.org/Vol-3834/paper140.pdf,Yes,https://github.com/kimchs/sequencing-reception,,,,R,None (import only),,Unversioned,
paper141.pdf,"Hong Wei Shawn Liew, Miguel Escobar Varela",No,Computational segmentation of Wayang Kulit video recordings using a Cross-Attention Temporal Model,https://ceur-ws.org/Vol-3834/paper141.pdf,Yes,https://github.com/villaorlado/wayang-kulit-segmentation/tree/eeffc2e85649c979fe61a3ae077494cc93f8f865,,"LaTeX issue, found repo via Google",,"Jupyter/Python, Python, Shell",Requirements file,Unversioned command line apps,Versioned,"wget, yt-dlp etc. although with yt-dlp you could argue that it really needs to be up to date"
